Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000229855,11.108862370603248,-5.532725475673056,0.5942921204631503,-9.309774242608553,1.2810434597370875e-20,5.327846892361686e-18,LOC102467226
ENSG00000149452,30.046490971924364,-5.395041144235747,0.9901523703719908,-5.448697903140788,5.073991167359981e-08,5.345206730871428e-07,SLC22A8
ENSG00000256193,141.79860061125197,-4.851257809200084,0.7422274142369113,-6.53608006945916,6.315211520771443e-11,1.7493968078037437e-09,LINC00507
ENSG00000099937,50.27315506087895,-4.779262317035001,0.7309785538631736,-6.5381703632437835,6.227596378152538e-11,1.7301927088787963e-09,SERPIND1
ENSG00000225106,8.056174753154748,-4.525057579268128,0.6111498355791036,-7.4041704927897865,1.3197278271181892e-13,8.492942343223178e-12,CDH4-AS1
ENSG00000164707,219.5294962897722,-4.4441175293230035,0.6881649516984825,-6.45792483089168,1.0614843989505108e-10,2.7102948486023837e-09,SLC13A4
ENSG00000105641,56.93205275770753,-4.427347335738383,0.7598192683049563,-5.826842672225378,5.6485816157379686e-09,8.233525744973988e-08,SLC5A5
ENSG00000112499,15.419907264378494,-3.7518401660991167,0.6507909812053938,-5.7650463427596454,8.163540620569788e-09,1.1307041620877041e-07,SLC22A2
ENSG00000205634,8.794194691211166,-3.5172311440448465,0.51397239728868,-6.843229641511941,7.742738032090342e-12,2.8837126686446707e-10,LINC00898
ENSG00000236922,16.747859664219195,-3.4922072927615866,0.47711907025030514,-7.319362210631222,2.491522583001421e-13,1.454926150320583e-11,LINC01378
ENSG00000134762,11.800756041489716,-3.4742367648184467,1.0056424773369312,-3.454743453178973,0.0005508166726614085,0.0016956478110565977,DSC3
ENSG00000255087,23.542198006132253,-3.45323007046047,0.38429954837516406,-8.98577707171628,2.5691233325745566e-19,8.370224675044122e-17,LOC101929473
ENSG00000224404,21.289939740986597,-3.4354689075290623,0.4998603748320502,-6.872857062701474,6.2928613947761774e-12,2.419937755877343e-10,LL22NC03-13G6.2
ENSG00000223812,26.81092369310441,-3.3864683890889085,0.35034256276698467,-9.666163204215849,4.198231362345208e-22,2.5622753992119785e-19,PYDC2-AS1
ENSG00000261037,50.46969762203913,-3.375402563955496,0.36577974236753324,-9.227964736669074,2.758228029888075e-20,1.0437134865096476e-17,ENSG00000261037
ENSG00000183090,110.18852788394645,-3.2436271117568105,0.3367530962864727,-9.632063216420992,5.854202907064848e-22,3.4612974688020915e-19,FREM3
ENSG00000152034,95.08105521330906,-3.2410432830277567,0.4776742501957565,-6.7850491871804675,1.1604696740556463e-11,4.073485386481044e-10,MCHR2
ENSG00000027644,9.921553034274238,-3.1468002055836375,0.6683468348507019,-4.708334118596646,2.497494889518701e-06,1.5432823456515358e-05,INSRR
ENSG00000149305,38.283402163284926,-3.1158617870501937,0.3895745944741563,-7.9981134068969535,1.2633998471553698e-15,1.4228288754868807e-13,HTR3B
ENSG00000135426,489.54396601286714,-3.0975233652019596,0.5492010811691825,-5.64005329087792,1.6999754310363213e-08,2.113241468804678e-07,TESPA1
ENSG00000107165,26.967884827079466,-3.0405086442300693,0.35308231990427014,-8.611330765738796,7.221729005618698e-18,1.666281863247631e-15,TYRP1
ENSG00000224271,39.17361329621661,-2.9326962629360143,0.3711257087568633,-7.9021641285899715,2.741021576114627e-15,2.7151899591669497e-13,EPIC1
ENSG00000179023,8.257199062539017,-2.9295477437907453,0.6574217120869359,-4.456116507760469,8.345768754859955e-06,4.3971580295725524e-05,KLHDC7A
ENSG00000229618,19.509433797224148,-2.925311336177967,0.370075477473487,-7.904634363101085,2.6872118658107764e-15,2.6758972895336784e-13,ENSG00000229618
ENSG00000233123,98.14571039156793,-2.9182260287208,0.7017522880673717,-4.158484522733236,3.2036593467511404e-05,0.0001415866265838159,LINC01007
ENSG00000123454,11.476887856619571,-2.885655732426143,0.44189890390288217,-6.530126476757079,6.571417542299814e-11,1.8071398241324488e-09,DBH
ENSG00000225539,19.161752693276345,-2.8194260683339025,0.37338485569894914,-7.550992026862319,4.3195528854995664e-14,3.217556716285504e-12,LINC01821
