Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000113805,488.5968484085917,-1.5249706175742759,0.11955121948389562,-12.755793074780804,2.894142508388829e-37,5.4757176258716644e-33,CNTN3
ENSG00000156140,89.38749591661495,-1.9514741639614057,0.15432499733628408,-12.645224024912945,1.1888519855276241e-36,1.1246539783091324e-32,ADAMTS3
ENSG00000110931,2163.299620188776,-1.7113967505217536,0.14173988817781988,-12.074207003569239,1.4455101322968302e-33,9.116350567685343e-30,CAMKK2
ENSG00000184845,179.7344534554489,-1.9610526324479503,0.163410273303495,-12.00079158307122,3.51914428913394e-33,1.6645552487603538e-29,DRD1
ENSG00000154080,56.251550123321074,1.9077645570939459,0.1611322474754318,11.83974398038994,2.4319419863109866e-32,9.202468476200774e-29,CHST9
ENSG00000141469,679.2663697780263,2.113298989571224,0.18812993958090418,11.233188052252641,2.8018309482880423e-29,8.835106923601627e-26,SLC14A1
ENSG00000221869,337.20094200599607,1.360736434482262,0.12409534624028427,10.965249509417418,5.614547569893023e-28,1.517532000319657e-24,CEBPD
ENSG00000253846,148.24411974910777,0.863597598377801,0.08006226581195572,10.78657454444463,3.983621144086832e-27,9.421264005765358e-24,PCDHGA10
ENSG00000198734,86.44557773555186,2.6980194881425836,0.2531068117380178,10.659608366981491,1.5725824262767833e-26,3.305917722795193e-23,F5
ENSG00000100628,29.607220698338462,-2.6125502669632135,0.24716503308992635,-10.570064196793915,4.102137333958121e-26,7.761243835848765e-23,ASB2
ENSG00000004799,1392.6779374053083,1.2233832697101228,0.1159960695640074,10.546764854261305,5.257633614611441e-26,9.043129817131678e-23,PDK4
ENSG00000005379,3463.754119286521,-1.0973050413302798,0.1046011249719916,-10.49037514294515,9.564787138712902e-26,1.5080481055370676e-22,TSPOAP1
ENSG00000102468,810.0373008501628,-2.075355425673358,0.19823854446308603,-10.468980345342525,1.1992781094814863e-25,1.7454109101069016e-22,HTR2A
ENSG00000150054,235.99465101739435,-1.5958950225178492,0.15324176674951215,-10.414230117344491,2.1351811603282274e-25,2.8855448252435755e-22,MPP7
ENSG00000113319,2050.666877683612,-0.9288506986623509,0.09027752718670264,-10.28883629855521,7.912685594564629e-25,9.980534096610851e-22,RASGRF2
ENSG00000258754,28.122504290581297,3.0474476430625357,0.2969110220923329,10.263841408066169,1.0254446951404355e-24,1.212588352003565e-21,LINC01579
ENSG00000165553,99.67919758831076,-2.195717889026348,0.21608150887304461,-10.161526085586566,2.9443127526210942e-24,3.2768468987994767e-21,NGB
ENSG00000102287,23.646123810697524,-2.7077403820895243,0.2667318499650837,-10.151545015880101,3.261584276926753e-24,3.428287473303009e-21,GABRE
ENSG00000100906,860.9007739061565,1.0053074954610166,0.10048021464206305,10.005029338782629,1.4484875010137388e-23,1.4423886062726284e-20,NFKBIA
ENSG00000050767,63.4892683017364,-1.6431593279274692,0.165084551211444,-9.953440923874663,2.4361123134527014e-23,2.3045622485262557e-20,COL23A1
ENSG00000254122,252.09298213643163,1.023654399035437,0.10335762763958199,9.904004401155747,3.99933414716525e-23,3.4865995758102226e-20,PCDHGB7
ENSG00000260903,106.22897660827563,-1.2107356287360322,0.12226389325120736,-9.902642526264199,4.0541855532677006e-23,3.4865995758102226e-20,XKR7
ENSG00000113916,663.3117655157006,0.4431331754252987,0.04487527265652064,9.874773994513188,5.355354600673571e-23,4.405361262814955e-20,BCL6
ENSG00000154914,123.9892461212472,-1.3751323337892551,0.13963057457266775,-9.848361205973532,6.967066989253315e-23,5.492371143194696e-20,USP43
ENSG00000260464,101.5536556164573,-1.032056572281109,0.10525001489938479,-9.805761768943384,1.063415597210803e-22,8.047929239691356e-20,ENSG00000260464
ENSG00000109756,3249.42908604478,-0.49868640901256056,0.05097089420997808,-9.783748485129335,1.32220869028664e-22,9.621610930855089e-20,RAPGEF2
ENSG00000164949,145.5372799420363,1.3284402403756057,0.1362580580450794,9.749443515011102,1.8548221133518255e-22,1.2997494216524644e-19,GEM
ENSG00000066248,1287.2267659376425,-1.5494357530834288,0.15904010096739743,-9.742421839892172,1.9875994668488433e-22,1.343049354027861e-19,NGEF
ENSG00000152931,261.37788045290625,-2.3820531808026373,0.24613888239897866,-9.677679355598315,3.7513416060170404e-22,2.4474270064083585e-19,PART1
ENSG00000054277,204.20354259960268,-1.2336327876415067,0.12759158432366552,-9.668606234343107,4.099225490995702e-22,2.5622753992119785e-19,OPN3
ENSG00000223812,26.81092369310441,-3.3864683890889085,0.35034256276698467,-9.666163204215849,4.198231362345208e-22,2.5622753992119785e-19,PYDC2-AS1
ENSG00000183090,110.18852788394645,-3.2436271117568105,0.3367530962864727,-9.632063216420992,5.854202907064848e-22,3.4612974688020915e-19,FREM3
ENSG00000167178,278.8911531578902,-1.5726067881086083,0.16350547977674415,-9.618067787427664,6.707934040162188e-22,3.8458821830263217e-19,ISLR2
ENSG00000143878,4955.266343063385,0.9225629351160717,0.09613100851936629,9.596933906401436,8.235789662306001e-22,4.582974717965575e-19,RHOB
ENSG00000168209,965.831643821528,0.931149684168596,0.09722749071135864,9.577020628177275,9.988471661664638e-22,5.399482395391284e-19,DDIT4
